time,Piezo,Touch,Touch,Touch,Accel,Accel,Accel,Gyro,Gyro,Gyro,Temp
1409765576.21,155.0,980.0,1203.0,1081.0,0.0392,-2.4713,-9.2967,-0.0354,-0.0012,-0.0058,23.59
1409765576.23,146.0,986.0,1185.0,1085.0,0.0785,-2.432,-9.3752,-0.0307,-0.0389,-0.0015,23.59
1409765576.24,159.0,991.0,1200.0,1079.0,0.1177,-2.432,-9.2967,-0.0339,-0.0021,-0.0037,23.58
1409765576.26,134.0,988.0,1185.0,1087.0,0.0392,-2.4713,-9.4144,-0.0385,-0.0023,-0.0043,23.58
1409765576.27,119.0,992.0,1203.0,1087.0,0.0392,-2.4713,-9.2575,-0.0363,0.0023,0.0046,23.58
1409765576.28,136.0,983.0,1194.0,1078.0,0.0,-2.4713,-9.3359,-0.0377,0.0014,-0.0008,23.58
1409765576.3,125.0,985.0,1196.0,1085.0,0.0,-2.3536,-9.3359,-0.0359,0.0031,0.0043,23.58
1409765576.31,130.0,990.0,1198.0,1088.0,0.1177,-2.432,-9.2575,-0.0359,0.0005,-0.0029,23.59
1409765576.33,144.0,982.0,1195.0,1086.0,0.0785,-2.5105,-9.2575,-0.037,-0.0005,-0.0052,23.59
1409765576.34,132.0,985.0,1205.0,1085.0,0.0392,-2.4713,-9.2183,-0.0367,0.0026,-0.0006,23.59
1409765576.35,113.0,992.0,1198.0,1081.0,0.0392,-2.432,-9.2967,-0.0344,0.0,-0.0017,23.59
1409765576.37,142.0,981.0,1207.0,1072.0,0.0392,-2.432,-9.2967,-0.0353,0.0006,0.0032,23.6
1409765576.38,188.0,991.0,1202.0,1086.0,0.0,-2.432,-9.2575,-0.033,-0.0018,-0.0037,23.6
1409765576.4,120.0,985.0,1196.0,1080.0,0.0392,-2.432,-9.2967,-0.0339,0.0006,-0.0012,23.59
1409765576.41,115.0,992.0,1206.0,1087.0,0.0785,-2.432,-9.2967,-0.0397,-0.0008,-0.0002,23.59
1409765576.42,149.0,987.0,1460.0,764.0,0.0785,-2.3928,-9.3752,-0.0403,-0.0012,-0.0389,23.59
